Deutsche: dɔɪ̯tʃə
wie: viː
ich: ɪç
seine: zaɪ̯nə
dass: das
er: ɐ
war: vaː
für: fyːɐ̯
auf: aʊ̯f
sind: zɪnt
mit: miːt
sie: ziː
sein: zaɪ̯n
bei: baɪ̯
ein: aɪ̯n
haben: habn̩
dies: diːs
aus: aʊ̯s
durch: duːɐ̯x
heiß: haɪ̯s
Wort: voːɐ̯t
aber: aːbɐ
was: vaːs
einige: aɪ̯niːɡə
ist: ɪst
es: ɛːs
Sie: ziː
oder: oːdɐ
hatte: hatə
die: diː
von: foːn
zu: ʦuː
und: ʊnt
wir: viːɐ̯
können: kœnn̩
andere: andɛːrə
waren: vaːrən
tun: tʊn
ihre: iːrə
Zeit: ʦaɪ̯t
wenn: vɛn
werden: vɛːrdən
sagte: zaɡtə
jeder: jɛːdɐ
sagen: zaɡn̩
tut: tʊt
Satz: zaːʦ
drei: draɪ̯
wollen: vɔln̩
Luft: lʊft
gut: kt
auch: aʊ̯x
spielen: ʃpiln̩
klein: klaɪ̯n
Ende: ɛndə
setzen: zɛːʦɛːn
Zuhause: ʦuːaʊ̯zə
lesen: lɛːzɛːn
seits: zaɪ̯ts
Hafen: haːfɛːn
groß: ɡroːs
buchstabieren: bʊkstaːbiːrən
hinzufügen: hiːnʦuːfyɡn̩
Lande: landə
hier: hiːɐ̯
muss: mʊs
hoch: hɔx
so: zoː
folgen: fɔlɡn̩
Akt: akt
warum: vaːrʊm
fragen: fraɡn̩
Männer: mɛnɐ
Veränderung: fɛːrɛndɛːrʊŋk
ging: ɡɪŋk
Licht: lɪçt
Art: aːɐ̯t
müssen: mʏzɛːn
Haus: haʊ̯s
Bild: bɪlt
versuchen: fɛːrzʊxn̩
uns: ʊns
wieder: viːdɐ
Tier: tiːɐ̯
Punkt: pʊŋkt
Mutter: mʊtɐ
Welt: vɛlt
in der Nähe von: iːn dɛːr nɛːɛː foːn
bauen: baʊ̯ən
selbst: zɛlbst
Erde: ɛɐ̯də
Vater: faːtɐ
neu: nɔɪ̯
Arbeit: aːrbaɪ̯t
Teil: taɪ̯l
nehmen: nemn̩
erhalten: ɛɐ̯haltn̩
Ort: oːɐ̯t
gemacht: ɡəmaxt
leben: lɛbn̩
wo: voː
nach: nax
zurück: ʦuːryːk
wenig: vɛːnɪç
nur: nuːɐ̯
Runde: rʊndə
Mann: man
Jahr: jaː
kam: kaːm
zeigen: ʦaɪ̯ɡn̩
mir: miːɐ̯
geben: ɡəbn̩
unsere: ʊnzɛːrə
unter: ʊntɐ
Name: naːmə
sehr: zeːɐ̯
Formular: foːrmuːlaː
denken: dɛŋkn̩
Hilfe: hɪlfə
niedrig: niːdrɪç
Linie: liːniː
abweichen: abvaɪ̯çn̩
wiederum: viːdɛːrʊm
Ursache: uːrzaxə
viel: fiːl
bedeuten: bədɔɪ̯tən
vor: foːɐ̯
Umzug: uːmʦʊk
Recht: rɛçt
Junge: jʊŋə
alt: alt
gleich: ɡlaɪ̯ç
alle: alə
da: daː
nach oben: nax obn̩
Verwendung: fɛːrvɛndʊŋk
Ihre: iːrə
Weg: vɛːk
über: yːbɐ
viele: fiːlə
dann: dan
schreiben: ʃraɪ̯bn̩
würde: vyːrdə
diese: diːzə
lange: laŋə
machen: maxn̩
Sache: zaxə
sehen: zeːən
ihm: iːm
zwei: ʦvaɪ̯
hat: haːt
suchen: zʊxn̩
mehr: meːɐ̯
Tag: taːk
könnte: kœntə
gehen: ɡeːən
kommen: kɔmn̩
tat: taːt
Anzahl: aːnʦaːl
klingen: klɪŋn̩
nicht: nɪçt
am meisten: aːm maɪ̯stn̩
Menschen: mɛnʃɛːn
meine: maɪ̯nə
wissen: vɪzɛːn
Wasser: vasɐ
als: als
Anruf: aːnrʊf
erste: ɛɐ̯stə
nach unten: nax ʊntn̩
Seite: zaɪ̯tə
gewesen: ɡjuːɛːzɛːn
jetzt: jɛʦt
finden: fɪndn̩
Kopf: kɔp͡f
stehen: ʃteːən
besitzen: bəziːʦɛːn
sollte: zɔltə
Land: lant
gefunden: ɡəfʊndn̩
Antwort: antvoːɐ̯t
Schule: ʃuːlə
wachsen: vakzɛːn
Studie: ʃtuːdiː
noch: nɔx
lernen: lɛːrnən
Anlage: anlaːɡə
Abdeckung: abdɛːkʊŋk
Lebensmittel: lɛːbɛnsmɪtl̩
Sonne: zɔnə
vier: fiːɐ̯
zwischen: ʦvɪʃɛːn
Zustand: ʦʊstant
halten: haltn̩
Auge: aʊ̯ɡə
nie: niː
letzte: lɛʦtə
lassen: lazɛːn
Gedanken: ɡədaŋkn̩
Stadt: ʃtaːt
Baum: baʊ̯m
überqueren: yːbɛːrkvɛːrən
Bauernhof: baʊ̯ɛːrnhoːf
schwer: ʃvɐ
Beginn: bəɡɪn
Macht: maxt
Geschichte: ɡəʃɪçtə
Säge: zɛːɡə
weit: vaɪ̯t
Meer: meːɐ̯
ziehen: ʦiːən
links: lɪŋks
spät: ʃpɛt
laufen: laʊ̯fɛːn
unterlassen Sie: ʊntɛːrlazɛːn ziː
während: vɛːhrn̩t
Presse: prɛzə
Schließen: ʃliːsɛːn
Nacht: naxt
realen: rɛːaln̩
Leben: lɛbn̩
wenige: vɛːniːɡə
Norden: noːrdən
Buch: bʊx
tragen: traɡn̩
nahm: naːm
Wissenschaft: vɪzɛnʃaft
essen: ɛzɛːn
Zimmer: ʦɪmɐ
Freund: frɔɪ̯nt
begann: bəɡan
Idee: iːdeː
Fisch: fɪʃ
berg: bəɐ̯k
Stopp: ʃtɔp
einmal: aɪ̯nmaːl
Basis: baːziːs
hören: høːrən
Pferd: p͡fɛːɐ̯t
Schnitt: ʃnɪt
sicher: zɪçɐ
beobachten: bəoːbaxtn̩
Farbe: faːrbə
Gesicht: ɡəzɪçt
Holz: hoːls
Haupt-: haʊ̯pt-
geöffnet: ɡəœfnɛːt
scheinen: ʃaɪ̯nn̩
zusammen: ʦuːzamn̩
nächste: nɛçstə
weiß: vaɪ̯s
Kinder: kɪndɐ
Start: ʃtaːɐ̯t
bekam: bəkaːm
Beispiel: baɪ̯spiːl
erleichtern: ɛɐ̯laɪ̯çtɛːɐ̯n
Papier: paːpiːɐ̯
Gruppe: ɡrʊpə
immer: ɪmɐ
Musik: muːziːk
diejenigen: diːjɛːniɡn̩
beide: baɪ̯də
Marke: maːrkə
oft: ɔft
Schreiben: ʃraɪ̯bn̩
bis: biːs
Meile: maɪ̯lə
Fluss: flʊs
Auto: aʊ̯toː
Füße: fyːsə
Pflege: p͡flɛːɡə
zweite: ʦvaɪ̯tə
genug: ɡənʊk
Ebene: ɛːbɛːnə
Mädchen: mɛdxn̩
üblich: ʏblɪç
jung: jʊŋk
bereit: bəraɪ̯t
oben: obn̩
je: jə
rot: roːt
Liste: lɪstə
obwohl: ɔbvoːl
fühlen: fyln̩
Vortrag: foːrtraːk
Vogel: foɡl̩
bald: balt
Körper: køːrpɐ
Hund: hʊnt
Familie: faːmiːliː
direkt: diːrɛkt
Pose: poːzə
verlassen: fɛːrlazɛːn
Lied: liːt
messen: mɛzɛːn
Tür: tyːɐ̯
Produkt: proːdʊkt
